,RAP_TRN,PPM_TST,BNN_TRN,PPM_TRN,BNN_TST,RAP_TST
0,55.43611061,13.454635359999999,11.7935158,7.3181137400000003,1.3,53.537506819999997
1,56.480978210000004,6.9688230999999998,4.70839769,0.59251489000000002,1.3,47.094611290000003
2,39.556196579999998,1.4520621899999999,12.888847800000001,7.6435469700000001,1.3,63.93110051
3,53.387321759999999,3.10035266,-2.9205321,7.0845113099999999,1.3,47.218486030000001
4,40.709735190000004,13.470299689999999,4.8422938599999998,8.1955076499999997,1.3,59.377955020000002
5,47.08225702,2.0987766699999999,5.1736323100000003,5.94582034,1.3,68.618459389999998
6,48.511268899999997,1.1919826,3.0417506200000002,4.09917497,1.3,50.95504905
7,52.091030869999997,4.9170434800000002,1.1768405399999999,1.6005858500000001,1.3,51.603095809999999
8,56.945046679999997,-7.6098002500000002,6.5315288100000002,11.56428549,1.3,60.440641419999999
9,49.74013471,-5.0688432700000003,2.0594305500000001,10.460707859999999,1.3,48.520951320000002
10,50.066913479999997,3.2350436999999999,2.8432187299999998,6.9098594699999998,1.3,46.600923770000001
11,58.688118950000003,2.50510023,11.02225103,5.9724109099999998,1.3,65.205376060000006
12,47.149071309999997,7.8980813200000002,1.7512295499999999,10.79528127,1.3,53.810635859999998
13,31.985418679999999,2.0822901599999999,10.273435259999999,11.78998228,1.3,40.939625079999999
14,46.79463947,-3.7638565700000002,5.6356765700000002,5.9735942299999998,1.3,41.021509829999999
15,68.728682289999995,13.268738519999999,1.1861573700000001,2.00290429,1.3,63.267868659999998
16,60.807281490000001,9.0486192400000007,1.18976119,7.5454948000000002,1.3,57.409354110000002
17,55.573053600000001,9.3243287699999993,3.6371113199999998,15.10825462,1.3,37.064317189999997
18,37.352393069999998,7.87941614,3.5910543499999998,4.1309961199999998,1.3,47.142603110000003
19,55.397818960000002,6.4715255300000001,0.35574287999999998,9.8217250299999996,1.3,33.802331119999998
